first_name,last_name,urls
Jeffrey,Rothschild,['http://med.stanford.edu/news/all-news/2017/07/rothschild-gift-establishes-stanford-center-for-cancer-cell-therapy.html']
Peter,Hart,['http://www.americanow.com/story/society/2017/07/17/41-percent-americans-favor-trump-impeachment']
Phillip,Frost,['https://finnewsdaily.com/phillip-frost-ceo-chairman-of-opko-health-inc-nasdaqopk-just-purchased-shares/']
David,Pulver,['https://www.baseball-news-blog.com/2017/07/18/carters-inc-nysecri-set-to-announce-quarterly-earnings-on-tuesday.html']
Eric,Piesner,['http://www.legalbusinessonline.com/deals/ke-mofo-ag-warehouse-operator-glp%25E2%2580%2599s-116-bln-go-private-deal/74664']
Bill,Rouhana,['http://www.businessinsider.com/an-ashton-kutcher-backed-media-company-is-going-public-2017-7']
Bob,Diamond,['http://www.standard.co.uk/business/market-report-easyjet-s-mccall-faces-rough-exit-after-lufthansa-selloff-a3590541.html']
Amy,Walter,['http://www.pbs.org/newshour/bb/trumps-historically-low-approval-ratings-spell-trouble-republicans/']
Bill,Ryan,"['http://www.reuters.com/video/2017/07/18/senate-healthcare-bill-may-sink-after-go%3FvideoId%3D372122370', 'https://www.bizjournals.com/twincities/news/2017/07/17/portillos-looks-to-south-metro-for-its-third.html']"
William,Rouhana,['https://www.usatoday.com/story/money/2017/07/17/chicken-soup-soul-files-ipo-bid-raise-30-m/484307001/']
Phillip,Frost,"['http://wsvn.com/news/local/frost-art-museum-hosts-photo-shoot-for-foster-children/', 'http://finnewsdaily.com/phillip-frost-opko-health-inc-nasdaqopks-insider-paid-for-12600-shares/']"
David,Pulver,['https://www.com-unik.info/2017/07/17/glenmede-trust-co-na-has-233000-stake-in-carters-inc-nysecri.html']
Andrew,Weber,"['http://wgnradio.com/2017/07/16/the-delicious-world-of-nutella-with-ceo-of-ferrero-north-america-paul-chibe/', 'https://www.profootballfocus.com/news/fantasy-football-the-bell-cow-report-which-running-backs-do-it-all']"
David,Pulver,['https://transcriptdaily.com/2017/07/16/highbridge-capital-management-llc-takes-position-in-carters-inc-cri-updated-updated.html']
Kirk,Koenigsbauer,['https://www.thurrott.com/cloud/office-365/129862/microsoft-announces-july-updates-office-365']
Pete,Rouse,['http://www.foxnews.com/politics/2017/07/31/white-house-shakeup-watch-why-media-prefer-kelly-over-priebus.html']
Phillip,Frost,['http://finnewsdaily.com/the-insider-phillip-frost-invested-in-35100-shares-of-opko-health-inc-nasdaqopk/']
Kirk,Koenigsbauer,['https://edtechmagazine.com/higher/article/2017/07/major-tech-companies-strive-make-tools-accessible-students']
David,Pulver,['https://www.thecerbatgem.com/2017/07/15/carters-inc-cri-given-buy-rating-at-fbr-co.html']
